"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.014456666E-1,-3.010954118E0,-1.148278695E0,1.690838181E0,3.639137593E0
6.113826666E-1,-4.037523750E0,-1.089071251E0,3.632059398E0,5.538910515E0
6.213206666E-1,-2.175302217E0,-7.809761958E-1,7.338907608E0,7.694246450E0
6.312576666E-1,1.403264514E-1,-7.372230890E-1,1.141000636E1,1.143465936E1
6.411946666E-1,-1.322745430E-1,-1.016203103E0,1.378274800E1,1.382079259E1
6.511326666E-1,-1.167879293E0,-1.173944463E0,1.347762626E1,1.357897261E1
6.610696666E-1,-2.670844973E0,-1.964097572E0,1.183408386E1,1.228969621E1
6.710066666E-1,-2.801780211E0,-2.520575039E0,1.013889536E1,1.081667555E1
6.809446666E-1,-9.933276263E-1,-1.582926354E0,7.827444815E0,8.047437353E0
6.908816666E-1,2.217091683E-1,5.975733067E-1,5.148167573E0,5.187473197E0
7.008186666E-1,-9.599622443E-1,2.232814845E0,4.045921229E0,4.719795360E0
7.107566666E-1,-3.244520563E0,2.051032951E0,3.670764458E0,5.311135618E0
7.206936666E-1,-3.808695305E0,5.750950018E-1,3.612777620E0,5.281009024E0
7.306306666E-1,-2.588200719E0,-1.014613099E0,4.025955911E0,4.892498718E0
7.405686666E-1,-8.618661386E-1,-2.353060204E0,4.070583615E0,4.780100055E0
7.505056666E-1,9.608823037E-1,-2.718810267E0,2.951241183E0,4.126142095E0
7.604426666E-1,1.937519930E0,-2.131683742E0,1.294303989E0,3.158050328E0
7.703806666E-1,2.250194232E0,-3.064890297E0,-1.736959848E0,4.180186136E0
7.803176666E-1,2.148896191E0,-3.244673175E0,-5.157248883E0,6.460872611E0
7.902546666E-1,2.615879391E0,-2.724399036E0,-7.212537584E0,8.141613691E0
8.001926666E-1,3.214718474E0,-1.961758247E0,-7.769192514E0,8.633844022E0
8.101296666E-1,3.630136249E0,-1.062229461E0,-7.801968496E0,8.670463254E0
8.200666666E-1,3.256690373E0,-5.510611547E-2,-8.056017153E0,8.689561625E0
8.300046666E-1,2.960313722E0,1.130945794E0,-8.221001605E0,8.810639200E0
8.399416666E-1,2.424011781E0,2.513097035E0,-8.386339229E0,9.084171700E0
8.498786666E-1,2.591117310E0,3.311095791E0,-8.497077892E0,9.480378524E0
8.598166666E-1,3.349130759E0,2.948367861E0,-8.458373417E0,9.563139168E0
8.697536666E-1,2.459671902E0,4.132783372E0,-8.357898372E0,9.642839284E0
8.796906666E-1,2.137313734E0,5.447558463E0,-8.399012484E0,1.023657237E1
8.896295417E-1,2.244015479E0,6.586238807E0,-8.672691997E0,1.111889084E1
8.995665417E-1,1.421368663E0,7.028443261E0,-8.279332259E0,1.095292866E1
9.095035417E-1,8.910916919E-1,6.363319557E0,-7.702847666E0,1.003093926E1
9.194415417E-1,1.085571546E0,5.056055800E0,-7.368032590E0,9.001670405E0
9.293785417E-1,1.313210961E0,3.953049026E0,-6.601433381E0,7.805769809E0
9.393155416E-1,1.229141156E0,3.293885096E0,-5.820519605E0,6.799920255E0
9.492525416E-1,1.365434344E0,2.794201050E0,-5.321336957E0,6.163489066E0
9.591905416E-1,1.072087575E0,1.756029811E0,-5.543921161E0,5.913380954E0
9.691275416E-1,5.180245690E-1,3.505766849E-1,-6.137535757E0,6.169327243E0
9.790645416E-1,-1.550672820E-1,-5.057168744E-1,-4.979354364E0,5.007371097E0
9.890025416E-1,-2.392242104E-2,-1.547347801E0,-4.647847057E0,4.898707969E0
9.989395416E-1,-4.359377012E-2,-1.644980807E0,-4.055391380E0,4.376535332E0
1.008876542E0,-8.108231619E-1,-1.433059001E0,-1.866727690E0,2.489129279E0
1.018814542E0,-1.775828337E0,-1.495002065E0,2.321315963E0,3.282850173E0
1.028751542E0,-2.093340333E0,-1.749038003E0,7.250957884E0,7.747102550E0
1.038688542E0,-2.267649925E0,-1.995617572E0,1.211318667E1,1.248415063E1
1.048626542E0,-2.110764890E0,-2.647813375E0,1.598538244E1,1.634009474E1
1.058563542E0,-1.343377039E0,-2.781975692E0,1.793954297E1,1.820360548E1
1.068500542E0,-9.055650124E-1,-1.719052166E0,1.729028217E1,1.739911049E1
1.078438542E0,-1.656296631E0,-1.012706468E0,1.381305178E1,1.394880972E1
1.088375542E0,-1.792362801E0,1.382742248E-1,9.405505409E0,9.575761910E0
1.098312542E0,-7.920248021E-1,2.444465195E0,5.877527034E0,6.414673601E0
1.108250542E0,7.912716807E-1,4.739136419E0,3.390080565E0,5.880320663E0
1.118187542E0,1.112045911E0,6.441419063E0,1.719794177E0,6.759158059E0
1.128124542E0,4.959213629E-1,6.603826062E0,-8.925365388E-2,6.623022186E0
1.138062542E0,-4.766934521E-1,4.224971743E0,-1.166027772E0,4.408768949E0
1.147999542E0,-1.122619943E0,1.237653240E0,-9.223824817E-1,1.908625296E0
1.157936542E0,-8.620314686E-1,-5.947568491E-1,-1.188023828E0,1.583740691E0
1.167874542E0,-3.358613627E-1,-2.295598885E0,-6.604517788E-1,2.412213433E0
1.177811542E0,7.350914135E-1,-3.711472773E0,9.109833348E-1,3.891693740E0
1.187748542E0,1.518242408E0,-3.756691046E0,1.633480504E0,4.368757967E0
1.197686542E0,1.457213264E0,-3.194575401E0,1.670848889E0,3.888511090E0
1.207623542E0,1.280689040E0,-2.600266449E0,9.865316999E-1,3.061828672E0
1.217560542E0,9.309093301E-1,-2.204716928E0,2.001970865E0,3.120137217E0
1.227497542E0,3.773731586E-1,-1.662123820E0,3.460075244E0,3.857095642E0
1.237435542E0,2.103183536E-1,-1.215961751E0,2.873872579E0,3.127609373E0
1.247372542E0,-5.917085494E-1,-2.297516479E-1,2.256709492E-1,6.736706944E-1
1.257309542E0,-6.046529692E-1,8.649875285E-1,-2.123868354E0,2.371629276E0
1.267247542E0,-3.280046783E-1,1.591718666E0,-4.399673683E0,4.690232819E0
1.277184542E0,-3.041246496E-1,1.912905199E0,-6.144759992E0,6.442807886E0
1.287121542E0,-1.095281433E-1,2.093312413E0,-7.471739976E0,7.760209504E0
1.297059542E0,3.220342326E-1,2.587667453E0,-7.934835947E0,8.352326047E0
1.306996542E0,5.624989298E-1,2.867443566E0,-8.074433543E0,8.586915319E0
