"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.094616250E-1,-9.065998234E-1,1.953079663E-1,6.474388003E-1,1.131037330E0
6.193996250E-1,-1.108476040E0,-4.517164126E-2,5.139585614E-1,1.222666353E0
6.293376250E-1,-1.217265899E0,-2.763207006E-1,3.781809515E-1,1.304266166E0
6.392746250E-1,-1.215111273E0,-4.926043837E-1,2.434628570E-1,1.333577387E0
6.492126250E-1,-1.214047519E0,-6.155688438E-1,1.255432284E-1,1.366966525E0
6.591506250E-1,-1.229661558E0,-6.371456543E-1,3.025290906E-2,1.385257150E0
6.690876250E-1,-1.254231266E0,-6.119549721E-1,-8.093072712E-2,1.397903694E0
6.790256250E-1,-1.347482661E0,-5.362725596E-1,-2.348218417E-1,1.469162713E0
6.889636250E-1,-1.526415938E0,-4.367949030E-1,-5.030581820E-1,1.665473788E0
6.989016250E-1,-1.641915112E0,-3.847007431E-1,-9.586346340E-1,1.939809336E0
7.088386250E-1,-1.534371952E0,-3.658501969E-1,-1.565084453E0,2.222078531E0
7.187766250E-1,-1.222372346E0,-3.090434736E-1,-1.520837402E0,1.975512193E0
7.287146250E-1,-9.940102156E-1,-2.849313104E-1,-1.570065111E0,1.879985801E0
7.386516250E-1,-9.571816740E-1,-3.121958537E-1,-1.513373432E0,1.817680432E0
7.485896250E-1,-8.581652896E-1,-3.986010365E-1,-1.453354102E0,1.734234297E0
7.585276250E-1,-8.480469753E-1,-2.526748529E-1,-1.419541993E0,1.672760510E0
7.684656250E-1,-8.071638282E-1,-9.084672779E-3,-1.475317413E0,1.681712653E0
7.784026250E-1,-7.104505158E-1,1.630383526E-1,-1.430973299E0,1.605928399E0
7.883406250E-1,-6.890658595E-1,2.929661156E-1,-1.432933871E0,1.616768499E0
7.982786250E-1,-7.455739363E-1,3.785560504E-1,-1.451723898E0,1.675317120E0
8.082156250E-1,-8.016090464E-1,4.469145329E-1,-1.498472972E0,1.757194045E0
8.181536250E-1,-7.102835047E-1,5.187586869E-1,-1.507467744E0,1.745300040E0
8.280916250E-1,-4.108947343E-1,5.929773952E-1,-1.365047112E0,1.543959291E0
8.380296250E-1,7.811880112E-3,7.389028479E-1,-1.116702999E0,1.339053409E0
8.479666250E-1,4.103996944E-1,1.001482884E0,-9.210773832E-1,1.421189439E0
8.579046250E-1,5.015956472E-1,1.244196567E0,-1.047881856E0,1.702257229E0
8.678426250E-1,7.059583193E-1,1.440884914E0,-9.982863575E-1,1.889735997E0
8.777806250E-1,8.638702717E-1,1.518958546E0,-9.197313541E-1,1.974693058E0
8.877176250E-1,6.388758454E-1,1.420803822E0,-7.458035856E-1,1.727156285E0
8.976556250E-1,2.865337399E-1,1.149119817E0,-4.777871007E-1,1.277050685E0
9.075936250E-1,-1.928533052E-1,9.712837695E-1,-1.964196682E-1,1.009537144E0
9.175306250E-1,-5.192958999E-1,1.007573929E0,-1.171548128E-1,1.139560750E0
9.274686250E-1,-5.919178797E-1,1.222773830E0,-1.291556382E-1,1.364633209E0
9.374066250E-1,-1.511974485E-1,1.467335964E0,-5.266762555E-2,1.476045182E0
9.473436250E-1,5.408205239E-1,1.606030457E0,-2.618815863E-1,1.714760226E0
9.572816250E-1,9.159778802E-1,1.478303148E0,-5.599007195E-1,1.826987819E0
9.672196250E-1,8.188734622E-1,1.452326015E0,-7.651280487E-1,1.834455105E0
9.771576250E-1,2.497946607E-1,1.726272600E0,-5.532588673E-1,1.829893395E0
9.870946250E-1,1.706271614E-1,1.944027881E0,-6.422464728E-2,1.952558024E0
9.970326250E-1,4.201427637E-1,1.907400484E0,3.897274482E-1,1.991628487E0
1.006970625E0,6.251720184E-1,1.863842528E0,8.614001155E-1,2.146336222E0
1.016907625E0,5.510796100E-1,1.795684605E0,1.541623085E0,2.429974006E0
1.026845625E0,4.842468122E-1,1.773578475E0,2.013924912E0,2.726897346E0
1.036783625E0,5.219929281E-1,1.680775415E0,2.195479789E0,2.813825530E0
1.046721625E0,8.062925930E-1,1.460099304E0,2.090474905E0,2.674337872E0
1.056658625E0,1.124069322E0,1.288391869E0,1.666874537E0,2.387876917E0
1.066596625E0,9.042986517E-1,9.653535233E-1,1.261178343E0,1.827630786E0
1.076534625E0,6.046775275E-1,6.248748337E-1,1.158467322E0,1.448499225E0
1.086471625E0,6.155403386E-1,5.468454950E-1,1.167069746E0,1.428279278E0
1.096409625E0,6.325108588E-1,5.162328359E-1,1.615510840E0,1.810094363E0
1.106347625E0,3.260807251E-1,2.434443652E-1,2.322221112E0,2.357605711E0
1.116285625E0,-1.202336642E-1,-1.568008353E-1,2.838410971E0,2.845280210E0
1.126222625E0,-3.205058435E-1,-5.611078772E-1,2.829629037E0,2.902475932E0
1.136160625E0,-3.300292037E-1,-7.587206697E-1,2.596591181E0,2.725226980E0
1.146098625E0,-1.334405144E-1,-7.047559125E-1,2.433336335E0,2.536850998E0
1.156035625E0,3.050888555E-1,-6.691613527E-1,1.619532555E0,1.778691042E0
1.165973625E0,5.378984145E-1,-9.326445644E-1,1.654089600E-1,1.089275315E0
1.175911625E0,6.623350208E-1,-1.082882850E0,-1.284690582E0,1.806032347E0
1.185849625E0,8.321914461E-1,-9.353746294E-1,-2.329896752E0,2.644973946E0
1.195786625E0,9.022475946E-1,-8.008813604E-1,-2.551541893E0,2.822379795E0
1.205724625E0,9.635550660E-1,-7.811041036E-1,-2.012435626E0,2.363992203E0
1.215662625E0,1.288313516E0,-8.238934430E-1,-1.328073413E0,2.025421219E0
1.225599625E0,1.075017030E0,-6.812460125E-1,-7.457223094E-1,1.475079492E0
1.235537625E0,8.277590373E-1,-7.157137408E-1,-1.804760653E-1,1.109054910E0
1.245475625E0,9.421691671E-1,-9.762938100E-1,-9.781222343E-3,1.356808024E0
1.255413625E0,9.980567081E-1,-1.188678277E0,1.040845317E-1,1.555604972E0
1.265350625E0,4.795667738E-1,-1.365186714E0,1.080413425E-1,1.450996894E0
1.275288625E0,2.778347275E-1,-1.377822109E0,-2.816252947E-1,1.433491788E0
1.285226625E0,2.738760163E-1,-1.138013031E0,-4.799979329E-3,1.170514746E0
1.295163625E0,-1.288349550E-1,-7.777302602E-1,7.290255851E-1,1.073750952E0
1.305101625E0,-5.269837094E-1,-6.403686395E-1,4.503338385E-1,9.437077887E-1
1.315039625E0,-7.116700257E-1,-6.913404264E-1,-2.828900474E-1,1.031723117E0
1.324977625E0,-5.019287923E-1,-6.667337349E-1,-7.540271097E-1,1.124732532E0
1.334914625E0,-2.941454807E-1,-6.242278393E-1,-1.477330610E0,1.630548279E0
1.344852833E0,9.700337078E-2,-4.607782082E-1,-1.768169362E0,1.829794826E0
1.354790833E0,4.139461769E-1,-3.008036504E-1,-1.754427820E0,1.827525992E0
1.364727833E0,5.289942379E-1,-1.425747058E-1,-1.697328005E0,1.783559589E0
1.374665833E0,7.480879466E-1,1.540663849E-1,-1.607356898E0,1.779597771E0
1.384603833E0,8.063409057E-1,4.404168145E-1,-1.520394768E0,1.776443885E0
1.394541833E0,6.080336101E-1,5.846692327E-1,-1.343004279E0,1.585939304E0
1.404478833E0,4.399702334E-1,7.156022783E-1,-1.097469168E0,1.382063313E0
1.414416833E0,2.794214791E-1,8.296511232E-1,-8.044915044E-1,1.188950769E0
1.424354833E0,9.819061138E-2,8.784673340E-1,-5.708396906E-1,1.052237713E0
1.434291833E0,5.388560057E-2,8.973547907E-1,-4.823186928E-1,1.020186551E0
